epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95969,2.50683,4.00349,1.66081,0.00749,0.1717,0.01044,0.00456,2.42684,3.61621,1.40298,0.069031,3.1e-05,3.1e-05
2,16.2526,2.36082,3.6187,1.5081,0.00777,0.16772,0.0116,0.00555,2.35848,3.3361,1.39765,0.0370624,6.23763e-05,6.23763e-05
3,23.6783,2.29006,3.36085,1.44625,0.02716,0.22736,0.04575,0.02072,2.25348,3.2552,1.37627,0.00509312,9.3119e-05,9.3119e-05
4,31.1523,2.26428,3.21197,1.4066,0.04157,0.27421,0.07866,0.03538,2.21404,3.10199,1.3718,9.703e-05,9.703e-05,9.703e-05
5,38.7702,2.2435,3.05541,1.37495,0.04926,0.29152,0.1047,0.04772,2.2181,2.86007,1.37055,9.604e-05,9.604e-05,9.604e-05
6,46.4092,2.24669,2.83071,1.36183,0.0535,0.28159,0.12136,0.05409,2.21792,2.52485,1.37817,9.505e-05,9.505e-05,9.505e-05
7,53.5967,2.22729,2.57275,1.34831,0.68538,0.1418,0.12889,0.05726,2.23399,2.14546,1.39168,9.406e-05,9.406e-05,9.406e-05
8,60.7563,2.25309,2.30451,1.36755,0.68201,0.16569,0.13388,0.05889,2.24895,1.92227,1.40014,9.307e-05,9.307e-05,9.307e-05
9,68.6079,2.24796,2.0638,1.33179,0.70111,0.17289,0.15209,0.06888,2.25715,1.88164,1.39769,9.208e-05,9.208e-05,9.208e-05
10,75.8147,2.27034,1.93955,1.34658,0.73065,0.17314,0.17471,0.07817,2.24301,1.72554,1.38909,9.109e-05,9.109e-05,9.109e-05
11,82.8148,2.23919,1.83624,1.34767,0.75103,0.18329,0.2009,0.09151,2.21851,1.59894,1.38238,9.01e-05,9.01e-05,9.01e-05
12,90.0007,2.22736,1.74094,1.32167,0.76797,0.18741,0.21455,0.09836,2.20736,1.54872,1.37259,8.911e-05,8.911e-05,8.911e-05
13,97.1957,2.2238,1.68339,1.31324,0.77452,0.19484,0.2276,0.10712,2.19854,1.50976,1.36778,8.812e-05,8.812e-05,8.812e-05
